15:06:31  None                   
15:06:31  블플                     
15:08:25  블플                     
15:08:26  예약발송봇                  
15:09:16  블플                     
15:09:17  예약발송봇                  
15:09:17  sungclaw               대기대기~
15:09:24  블플                     진입 대기 나왔네요
15:09:33  sungnotifyownerbot     대기~
15:09:43  Internalsung           대기 들어갑니다
15:09:53  sungclaw               바이 진입~
15:09:58  sungnotifyownerbot     저도 바이 진입~
15:10:03  블플                     바이 들어갑니다
15:10:07  Internalsung           바이 진입입니다
15:10:15  sungnotifyownerbot     [사진]333 불 수익입니다 감사합니다
15:10:26  Internalsung           [사진]999 불 먹고 갑니다~
15:10:31  블플                     [사진]행복합니다^^
15:10:36  sungclaw               [사진]청산 완료~ 감사합니다
15:18:48  블플                     출고 전 점검: 사람 계정 경로 확인 (kmong 4881110)
15:18:48  블플                     [사진]수익청산 나이스
